MEN	Trachea-bronchus-lung	Colon, rectum and anus	Stomach	Pancreas	Prostate	Liver	Hodgkins disease	Leukemia	Bladder	Skin
Australia	20.49342921	9.290023969	2.954789652	5.033473841	13.61269526	4.049921481	0.157037772	3.855690553	3.107694851	4.425985619
Austria	22.28692919	10.94472176	4.584951008	6.627842485	10.57496765	5.66648179	0.147901645	3.780735811	3.031983731	1.941209096
Belgium	30.09070593	10.45090049	3.253582227	5.179439989	9.162613382	3.450769029	0.144603655	3.56908111	4.719337452	1.018798475
Canada	27.73162434	11.44341588	3.011841654	5.419732574	9.739694596	3.863702297	0.195163119	3.789856792	3.534034866	1.5375689
Chile	13.304823	8.022491486	17.27251129	4.165676724	16.19545419	5.044745387	0.22174705	3.00942425	2.162033737	0.554367625
Czech Rep.	24.87532416	13.97034377	4.45508345	6.742469579	9.455415919	3.464326086	0.279273888	3.37123479	3.557417381	1.522707627
Denmark	24.31158521	12.16819648	3.212602332	6.375589184	14.30166212	3.162986852	0.21086579	3.100967502	4.366162243	2.245100471
Estonia	26.37195122	10.26422764	8.333333333	5.43699187	13.00813008	2.388211382	0.101626016	3.861788618	3.506097561	1.016260163
Finland	23.9178867	9.818586887	4.169318905	7.940802037	13.57415659	4.232972629	0.159134309	2.737110121	2.928071292	2.418841502
France	25.12575792	10.16168875	3.360655738	5.335728722	9.885470469	6.466427128	0.143723333	3.535818549	4.350999326	1.112732989
Germany	24.4012222	11.17718566	4.592272563	6.795183494	11.01291192	4.106843644	0.151953215	3.609915563	3.19840983	1.467785918
Greece	31.66724517	8.50399167	4.830498669	5.229665625	9.013074164	1.237996066	0.792548883	3.823903737	5.582552355	0.76940877
Hungary	30.41257367	16.08195341	5.287678922	5.29329217	6.797642436	3.104125737	0.117878193	2.559640752	3.575638507	1.044063991
Iceland	20.32258065	13.22580645	4.193548387	3.870967742	17.09677419	0.967741935	0.64516129	2.903225806	5.806451613	0.967741935
Ireland	22.95747731	12.32680363	4.395604396	5.805064501	12.4462494	3.511705686	0.238891543	3.057811753	2.866698519	1.887243192
Israel	21.82289737	12.67135976	5.446461652	8.725453872	7.725083364	3.501296777	0.351982216	5.094479437	4.890700259	2.278621712
Italy	26.06741808	10.90044415	6.087111372	5.398893824	7.628006369	6.95340652	0.250356155	3.660018436	4.687630939	1.131316517
Japan	23.99056121	11.97177581	14.73796762	7.315521922	5.327753633	9.132765224	0.051157496	2.214981311	2.426985349	0.151168096
Korea	26.20420989	10.09857518	13.10748569	5.630407645	3.142352891	18.28160647	0.094701046	1.977960484	1.975808187	0.271189359
Luxembourg	25.18382353	11.94852941	4.044117647	6.066176471	7.720588235	6.066176471	0.183823529	4.779411765	4.044117647	1.838235294
Mexico	11.49597401	6.91058059	8.227150728	5.088289306	16.32151434	7.591467721	0.740217545	6.260771295	1.873145925	0.802373217
Netherlands	27.15515358	11.46939311	3.543496308	5.334906279	11.07615677	2.127845502	0.157294534	3.062874121	3.700790842	2.154061257
New Zealand	19.7737655	13.09549706	4.198390255	4.763976506	12.72569067	3.56754405	0.195779856	4.15488362	2.74091799	5.286056124
Norway	21.39823009	13.45132743	3.203539823	6.194690265	17.48672566	2.566371681	0.17699115	3.221238938	4.247787611	3.309734513
Poland	30.65693431	11.9202253	6.439067379	4.550069927	8.201620783	2.0863268	0.19541353	2.927371305	5.145889611	1.41579018
Portugal	20.39060984	14.4667917	8.730518011	4.733880877	11.1039255	4.695078575	0.155209209	3.000711376	4.416995408	0.821315398
Slovak Rep.	22.66305123	15.09918653	6.108177537	5.651491366	7.606679035	3.11117454	0.285428857	2.554588269	3.125445983	1.541315827
Slovenia	24.94577007	13.72792067	7.468236752	5.11310815	11.09389526	3.997520917	0.154942671	2.479082739	4.09048652	2.169197397
Spain	26.77706347	14.07025989	5.245117455	4.827701776	8.81600195	5.138478413	0.19652052	2.953901466	6.384631791	0.885104049
Sweden	16.05304484	12.34514046	3.350200663	6.962135753	20.44145873	3.577037166	0.157040656	3.568312685	4.240097714	2.748211481
Switzerland	21.6075388	10.18847007	3.680709534	6.241685144	14.16851441	5.365853659	0	3.359201774	4.257206208	2.372505543
Turkey	38.97165809	7.623419473	8.846855339	5.211385946	7.225854048	3.723589565	0.219275775	3.612927024	3.397749862	0.57175646
United Kingdom	22.80308077	10.26261351	3.447751949	4.946063135	12.70759557	3.427883548	0.191671634	3.22335589	4.037960333	1.521685775
United States	29.1412459	9.06313206	2.226842334	6.211578252	9.487245059	4.537710188	0.237131309	4.268031445	3.463644848	1.993364309
OECD	25.99183401	10.69682199	6.27003433	5.933305685	9.235450758	5.686093446	0.194011091	3.432922396	3.617678042	1.304311271
